Species,Date ,Location
Chinese Egret ,23-Mar-19,Pulau Tekong
Chinese Egret ,6-Feb-21,Pulau Tekong
Chinese Egret ,13-Sep-18,Sungei Buloh Wetland Reserve
Chinese Egret ,6-Oct-19,Sungei Buloh Wetland Reserve
Christmas Frigatebird,26-Jan-22,Marina East Drive
Christmas Frigatebird,7-May-23,Sungai Buloh Wetland Reserve
Cinnamon-headed Green Pigeon,7-Nov-21,Central Catchment Nature Reserve
Cinnamon-headed Green Pigeon,18-Oct-23,Central Catchment Nature Reserve
Cinnamon-headed Green Pigeon,18-Sep-21,Jelutong Tower
Cinnamon-headed Green Pigeon,6-Dec-19,Jurong Lake Gardens
Cinnamon-headed Green Pigeon,7-Oct-22,Jurong Lake Gardens
Cinnamon-headed Green Pigeon,22-Mar-23,National University of Singapore
Cinnamon-headed Green Pigeon,26-Jan-16,Pasir Ris Park
Cinnamon-headed Green Pigeon,26-Jan-20,Pasir Ris Park
Cinnamon-headed Green Pigeon,30-Dec-18,Pulau Ubin
Cinnamon-headed Green Pigeon,29-Jun-19,Pulau Ubin
Cinnamon-headed Green Pigeon,8-Dec-19,Pulau Ubin
Cinnamon-headed Green Pigeon,12-Jun-21,Pulau Ubin
Cinnamon-headed Green Pigeon,25-Jul-21,Pulau Ubin
Cinnamon-headed Green Pigeon,4-Dec-21,Pulau Ubin
Cinnamon-headed Green Pigeon,12-Jun-22,Pulau Ubin
Cinnamon-headed Green Pigeon,22-Apr-23,Pulau Ubin
Cinnamon-headed Green Pigeon,20-May-19,"Ubin, West"
Common Buzzard,29-Oct-23,Henderson Waves
Common Buzzard,17-Nov-23,Mount Faber Park
Common Kestrel,5-Jan-24,Changi Bay
Common Kestrel,20-Jan-23,Redhil CL
Common Kestrel,24-Oct-20,Henderson Waves
Common Kestrel,29-Oct-20,Henderson Waves
Common Kestrel,9-Nov-20,Henderson Waves
Common Kestrel,29-Nov-18,Kranji Marshes
Common Kestrel,18-Nov-22,Lazarus Island
Common Kestrel,12-Dec-22,Marina East Drive
Common Kestrel,6-Nov-21,Mount Faber Park
Common Kestrel,28-Oct-23,Mount Faber Park
Common Kestrel,14-Nov-21,Mount Faber Park
Common Kestrel,15-Jan-22,Seletar Aerospace Crescent
Common Kestrel,11-Oct-20,Tuas South
Common Kestrel,14-Nov-20,Tuas South
Common Kestrel,7-Nov-22,Tuas South
Common Kestrel,25-Dec-22,Tuas South
Common Kestrel,27-Jan-24,Tuas South
Common Kestrel,10-Dec-23,Tuas South
Common Swift,27-Oct-20,Henderson Waves
Common Swift,9-Oct-20,Jelutong Tower
Common Swift,10-Nov-22,Pasir Panjang Canal
Common Tern,21-Sep-19,Pelagic - Straits of Singapore
Common Tern,17-Sep-19,SG - Batam Ferry
Common Tern,16-Oct-22,Singapore Strait
Common Tern,18-Sep-16,Singapore Straits
Common Tern,15-Oct-16,Singapore Straits
Common Tern,21-Apr-18,Singapore Straits
Common Tern,30-Sep-18,Singapore Straits
Common Tern,28-Apr-19,Singapore Straits
Common Tern,24-Sep-22,Singapore Straits
Common Tern,23-Sep-23,Singapore Straits
Common Tern,28-Sep-19,Singapore Straits
Common Tern,18-Oct-20,Singapore Straits
Common Tern,26-Oct-20,Singapore Straits
Common Tern,4-Oct-20,Singapore Straits
Common Tern,2-May-21,Singapore Waters Pelagic: second hour
Cotton Pygmy Goose,2-Mar-21,Bishan-Ang Mo Kio Park
Cotton Pygmy Goose,28-Jan-19,Hampstead Park
Cotton Pygmy Goose,8-Dec-21,MacRitchie Reservoir Park
Cotton Pygmy Goose,25-Nov-23,Singapore Botanic Gardens
Dusky Warbler,13-Jun-23,Bishan-Ang Mo Kio Park
Dusky Warbler,5-May-23,Sungai Buloh Wetland Reserve
Eastern Buzzard,12-Nov-23,Mount Faber Park
Eastern Buzzard,26-Mar-23,Mount Faber Park
Eastern Imperial Eagle,8-Nov-22,Mount Faber Park
Eurasian Curlew,17-Sep-23,Chek Jawa Wetlands
Eurasian Curlew,5-Sep-23,Marina East Drive
Eurasian Curlew,24-Oct-23,Mount Faber Park
Eurasian Curlew,15-Oct-22,P. Tekong
Eurasian Curlew,5-Aug-16,Pulau Tekong
Eurasian Curlew,22-Oct-16,Pulau Tekong
Eurasian Curlew,9-Mar-17,Pulau Tekong
Eurasian Curlew,13-Oct-18,Pulau Tekong
Eurasian Curlew,23-Sep-23,Singapore Strait
Eurasian Curlew,11-Oct-18,Sungei Buloh Wetland Reserve
Eurasian Hobby,23-Oct-20,Henderson Waves
Eurasian Hobby,30-Oct-23,Mount Faber Park
Eurasian Sparrowhawk,17-Nov-16,Henderson Waves
Eurasian Sparrowhawk,26-Nov-17,Henderson Waves
Eurasian Sparrowhawk,10-Nov-22,Mapletree Business Park
Eurasian Sparrowhawk,11-Mar-18,Tampines Eco Green
